Category,Vendor Name,Contact Name,Address,Website,Phone,Email,Instagram,Facebook,Pricing Notes,Capacity/Service Area,Preferred by THEOS?
Venue,THEOS Galveston,,"Downtown Galveston, TX",https://www.theosgalveston.com,,,,,,Galveston Island,Y
Venue,The Tremont House,,"2300 Ship Mechanic Row St, Galveston, TX",https://www.thetremonthouse.com,,,,,,Galveston Island,
Venue,Grand Galvez,,"2024 Seawall Blvd, Galveston, TX",https://www.grandgalvez.com,,,,,,Galveston Island,
Venue,The San Luis Resort,,"5222 Seawall Blvd, Galveston, TX",https://www.sanluisresort.com,,,,,,Galveston Island,
Venue,Carr Mansion,,"1103 33rd St, Galveston, TX",https://www.carrmansion.com,,,,,,Galveston Island,
Venue,Bayside Event Center,,"Offatts Bayou, Galveston, TX",,,,,,,Galveston Island,
Venue,Moody Mansion,,"2618 Broadway Ave J, Galveston, TX",https://www.moodymansion.org,,,,,,Galveston Island,
Venue,Hotel Lucine,,"1002 Seawall Blvd, Galveston, TX",https://www.hotellucine.com,,,,,,Galveston Island,
Venue,East Beach (R.A. Apffel Park),,"1923 Boddeker Rd, Galveston, TX",https://www.visitgalveston.com,,,,,,Galveston Island,
Venue,Stewart Beach,,"201 Seawall Blvd, Galveston, TX",https://www.visitgalveston.com,,,,,,Galveston Island,
Venue,Galveston Historic Seaport & 1877 Tall Ship ELISSA,,"2100 Harborside Dr, Galveston, TX",https://www.galvestonhistory.org,,,,,,Galveston Island,
Venue,The Bryan Museum,,"1315 21st St, Galveston, TX",https://thebryanmuseum.org,,,,,,Galveston Island,
Venue,The Lyceum of Galveston Island,,"2401 Winnie St, Galveston, TX",https://www.lyceumgalveston.com,,,,,,Galveston Island,
Venue,The Lasker Inn B&B Wedding and Event Venue,,"1019 16th St, Galveston, TX",https://www.laskerinn.com,,,,,,Galveston Island,
Venue,Peanut Butter Warehouse,,"102 20th St, Galveston, TX",,,,,,,Galveston Island,
Venue,Garten Verein (Kempner Park),,"2704 Ave O, Galveston, TX",,,,,,,Galveston Island,
Venue,Galveston Island Palms Outdoor Events & Parties,,"4131 Ave S, Galveston, TX",https://galvestonislandpalms.com,,,,,,Galveston Island,
Venue,Galveston Wedding Chapel,,"1705 23rd St, Galveston, TX",https://www.galvestonweddingchapel.com,,,,,,Galveston Island,
Planner,Water to Wine Events,,"Galveston, TX",https://watertowineevents.com,,,,,,Galveston Island + Houston,Y
Planner,Moments Event Planning & Design,,"Galveston, TX",https://www.moments-events.com,,,,,,Galveston Island,
Planner,The Total Wedding Experience,,"Galveston, TX",,,,,,,Galveston Island,
Planner,My Island Weddings,,"Galveston, TX",https://www.myislandweddings.com,,,,,,Galveston Beaches,
Planner,Barefoot Weddings Galveston,,"Galveston, TX",https://www.barefootweddingsgalveston.com,,,,,,Galveston Beaches,
